pc_filelist,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,crr,fhd,fd,fds,och,rug,rum,wetup,PCA1,PCA2
hoh_680474.2_886359.8.laz,212.66,156.32159303662343,16.623284811424565,0.5604602729548583,2.3484728865501086,0.7562090856896162,44.63787157168665,100,135.37,137.47,138.78,139.99,141.47,143.322,145.87,148.168,150.544,153.18,156.17000000000002,159.19,162.07,165.178,168.73,172.31,176.28,180.74600000000004,186.504,0,0,0,0,0,0,41.540735873850196,77.29960578186596,97.70039421813404,0.43827282962889746,4.05304978799578,2.3083359707525664,1.9359994053858856,158.56,16.670493955665336,17.355816303447085,WET,-4.534076747418194,-0.008069159584201985
hoh_680502.6_887265.2.laz,217.88,161.1444921394395,16.158319283273226,0.8165774721650771,2.8769454181259433,0.7443118611085349,41.50375939849624,100,142.09,143.8,145.34,146.62,147.91500000000002,149.38,150.92000000000002,152.53,154.56,156.69,159.15,162.022,165.29,168.8,172.21,175.72,180.30700000000002,185.56,191.44,0,0,0,0,0,0,39.95077932731748,78.17883511074652,96.93738036642057,0.41798325305773026,4.007333715556764,2.2013922956721714,1.9344920530160186,158.675,16.568515311125495,10.437984072882758,WET,-4.461131961861612,-0.287393649995326
hoh_681038.6_875466.7.laz,201.94,150.94669099032018,18.150359203405888,0.0906026356126752,2.3009837658114956,0.7976605866462473,49.79895755770662,100,122.461,124.982,128.35,133.73,137.125,140.45000000000002,142.90699999999998,145.73,148.52,150.89000000000001,153.64000000000001,156.34200000000004,159.42300000000006,162.07,164.71500000000003,167.52,170.47,174.36400000000003,180.159,0,0,0,0,0,3.1277926720285967,31.888591003872506,68.90080428954423,96.0530235329163,0.697281499884046,4.233958961502818,2.285432040290701,1.8995959971477248,156.79,16.265233940742142,18.73919847646304,UPL,-4.367451253999138,0.37467553938937304
hoh_681067_876372.laz,195.77,146.85757157292016,13.582762385498015,0.44316842494589337,2.402272817855216,0.735108565399697,47.238127315594475,100,128.804,130.51,131.842,133.116,134.38,136.35,138.39000000000001,140.62,143.08,145.425,148.13,150.49600000000004,152.59150000000002,154.89000000000001,157.41,160.02800000000002,162.5,165.49900000000005,169.55,0,0,0,0,0,0,32.002694963786425,73.37038908539667,98.43355229914098,0.43951143429669226,3.879124161234157,2.312759941861303,1.9426670212099288,151.05,13.434322388293676,14.871789816456786,WET,-4.572499992759802,-0.4246802169471171
hoh_681152.3_879088.2.laz,192.85,144.1904250486697,12.293075143876825,0.48897411786569966,2.72571903480341,0.7218543003371697,47.66385463984425,100,127.62,128.97,130.25,131.73,133.2,135.17000000000002,137.4,139.14000000000001,141.09050000000002,143.27,145.39600000000002,147.33400000000003,149.47,151.28,153.15,155.15,157.3365,160.32100000000003,165.55,0,0,0,0,0,0,29.59597598572124,77.85169560279084,98.73438260587376,0.44164843343092514,3.7983342994163625,2.2311000005935675,1.9813088344199121,147.08,12.00831498099183,12.600980229818694,WET,-4.550001784615657,-0.6703135989577821
hoh_681379.6_886331.4.laz,206.23000000000002,159.0481353856918,13.302307874616362,0.14693593336323332,2.1161152168847934,0.7361799867206279,49.70264124540843,100,139.07,141.24,143.54,145.68800000000002,147.6,149.93,151.87,154.436,156.66,158.89000000000001,161.06,163.42000000000002,165.46800000000007,167.72,169.78,171.92000000000002,173.75,176.61,180.28,0,0,0,0,0,0,17.09087728505204,63.8327648036386,98.21569141957492,0.5241025463455898,3.9230972972040217,2.269662395752353,2.079190905089436,164.14000000000001,12.368780659752437,17.81159314213114,WET,-4.358990268441986,-0.8304069100560325
hoh_681408_887236.8.laz,211.12,161.12282414596274,13.978220899817945,0.5625536413108856,2.4300253250214823,0.7329869619932499,43.7888198757764,100,142.88,144.62,146.16,147.8,149.51,151.15,152.89000000000001,154.95000000000002,156.76,158.66,160.66,162.83,165.32,168.13100000000003,171.13,174.41,177.7705,182.18,187.24,0,0,0,0,0,0,19.957289846631724,71.2677150067948,96.93263443991458,0.45148198393969835,3.923258980403643,2.2205116952776724,1.841348652305232,161.94,13.84327128122815,12.602942703199247,WET,-4.336170094468885,-0.4293044819128816
hoh_681436.4_888142.2.laz,232.35,183.82848811072992,19.770826049829676,-0.5121778092856784,2.214470261380973,0.7612375902378014,56.902874719034656,100,146.23,150.03,159.274,164.546,169.95000000000002,173.56,177.20000000000002,181.4,185.18200000000002,188.65,191.83,194.68800000000002,197.08,198.69,200.07000000000002,201.44,202.95000000000002,204.69,207.922,0,0,0,0,0,0,18.03123521060104,46.012778040700425,95.8707998106957,0.842481747147901,4.147408784849907,2.3104037848903873,1.9504672566641033,198.92000000000002,12.76104404066891,31.12191058276291,UPL,-3.9421837165056957,0.012267725271030941
hoh_681464.8_889047.6.laz,196.88,161.4915298422136,13.286605573902909,0.3270436213636822,2.1363877199213936,0.7276818571493223,47.53029956551566,100,142.75,143.86,145.8,148.26,150.16,152.23,154.33,156.27,158.1,160.41500000000002,162.57,164.63,167.19,169.19,171.19,174.08,177.07,180.20000000000005,185.0225,0,0,0,0,0,0,0,43.55631789594054,85.18010291595198,0.5666119431783837,3.8440481079849538,2.323281536854246,1.9442482036901712,164.76,12.798951312061485,16.05712296364661,WET,-4.198661942394844,-1.129026598264165
hoh_682114.5_880870.6.laz,208.4,157.2651430026309,19.647478169366224,0.19109606460118808,1.779908824602391,0.7801189947205255,48.07773911567513,100,130.74,132.35,133.73,135.47,137.81,141.44,145.431,149.14200000000002,152.33,156.04,159.58,164.01,167.68,171.59,174.31,177.43,180.81,184.19,188.84,0,0,0,0,0,0,35.70701069427941,63.52911220505857,94.02478356815482,0.5783753928196682,4.165413629174122,2.3432749365010865,1.9740559170250918,166.83,18.93900067507267,30.420820713780834,WET,-4.351454259653925,0.27063873087418133
hoh_682483.9_892640.8.laz,370.64,294.6200464532329,41.70907431538682,-0.42602073074876,1.8743879959680951,0.8072277032443301,59.02071563088512,100,226.28,228.58,231.53,239.556,257.74,271.756,285.79,293.24,300.56,306.40000000000003,311.48800000000006,315.37800000000004,319.26,323.52,327.76,332.84000000000003,336.692,341.17,350.33,0,0,0,0,0,0.5775991963837268,25.52737317930688,42.491210447011554,80.86388749372175,0.9767178614171949,4.774938528919036,2.1786452012889486,1.8236528546559132,315.29,43.36522191677877,38.70659100668032,WET,-2.832983340920995,1.8205370861383758
hoh_682540.7_894451.6.laz,344.59000000000003,237.5786445948418,53.13407408041606,0.4266876802569676,1.5858328836921327,0.8092189937734845,43.579659776842874,100,180.87,182.099,183.23,184.55,186.81,189.99,194.572,200.336,206.20000000000002,214.66,232.746,252.1100000000001,263.75,282.18,293.54,301.422,307.2820000000001,314.7,323.2705,0,0,0,0,0,45.422116527942926,56.910271654623614,67.68499039604866,87.22217140766487,0.5584327417271575,4.727744880790955,2.090748186480296,1.8123898533666658,213.09,54.87141162258778,47.00315757452465,WET,-3.540961081347586,3.5911639010570737
hoh_682597.5_896262.4.laz,360.14,235.00063719115735,46.443476385543995,0.4545189849503284,1.9650606006837998,0.8216761466540622,46.03381014304291,100,180.64000000000001,182.58,184.71,186.97,189.3,192.91,199.34,209.174,217.45200000000003,226.59,237.19850000000005,249.05,256.3,262.47900000000004,271.26,281.896,293.34000000000003,302.463,316.34299999999996,0,0,0,0,3.1993757315645728,44.4401092469762,61.724541552867734,82.20834959032383,97.08674730133957,0.46165040235505467,4.836790757973788,2.101767049188926,1.762111451842599,233.37,47.073345721859084,33.0215331406763,WET,-3.7843453609257622,3.6452040198980216
hoh_682856.2_933413.2.laz,847.0500000000001,788.8242901785715,31.851474974892835,-2.1453911511299673,7.40845209893872,0.6396978064908293,67.09821428571429,100,688.48,758.96,774.1755,780.58,784.41,787.33,789.89,792.32,794.7964999999999,796.95,798.85,800.85,803.0305000000001,804.899,806.76,809.25,811.71,814.57,819.09,0,0,0,0,0,0,0,0.029766334275933917,10.71588033933621,1.9165810175748477,4.312688907834433,2.134040955905369,1.839323924845998,801.02,17.451586948391174,35.3806020131548,UPL,0.38979912813955453,-0.5839357995691293
hoh_683218.8_887180.laz,198.82,169.7567764813544,7.751731104819353,0.6787804503266581,3.0269273371782552,0.6369643210032172,45.481583161747885,100,159.35,160.6,161.61,162.53,163.52,164.5,165.42000000000002,166.44,167.735,168.83,169.85,170.83000000000004,171.95000000000002,173.26,174.67000000000002,176.25,178.21500000000003,180.81,183.99,0,0,0,0,0,0,0,4.0961098398169336,86.45308924485126,0.45510355975718636,3.3710699041846595,2.192514486477982,1.8169109500561764,169.015,7.77324258994325,4.235758008637574,WET,-4.0208159835231845,-2.1272666791791384
hoh_683446.1_894423.2.laz,318.47,233.546,37.596627465767135,0.07309978376184254,1.8493214518594707,0.8037816759769142,54.1367088607595,100,182.15,183.56,185.27,187.34,191.22500000000002,203.86,213.317,222.65800000000002,231.90800000000002,239.34,244.51100000000002,248.20000000000002,252.33300000000006,256.82,261.82500000000005,268.57,275.02700000000004,282.41,294.23,0,0,0,0,0,24.944298156775368,40.15596516102896,67.53088920397002,91.7966376341908,0.6206255004474586,4.6326184196776845,2.2146057756860618,1.8108913095300987,248.39000000000001,37.84207463090045,45.84561816438097,WET,-3.6093183812219234,2.480128746725575
